,s
1253,http://yago-knowledge.org/resource/Alcoholic_drink
1254,http://yago-knowledge.org/resource/Communication_protocol
1255,http://yago-knowledge.org/resource/National_Historic_Site_(United_States)
1256,http://yago-knowledge.org/resource/Almshouse
1257,http://yago-knowledge.org/resource/Small_burgh
1258,http://yago-knowledge.org/resource/Paddle_steamer
1259,http://yago-knowledge.org/resource/News_program
1260,http://yago-knowledge.org/resource/Coal-fired_power_station
1261,http://yago-knowledge.org/resource/Umbrella_term
1262,http://yago-knowledge.org/resource/Tabletop_role-playing_game
1263,http://yago-knowledge.org/resource/Boarding_school
1264,http://yago-knowledge.org/resource/Tower
1265,http://yago-knowledge.org/resource/Aircraft_carrier
1266,http://yago-knowledge.org/resource/Hypocorism
1267,http://yago-knowledge.org/resource/Mudra
1268,http://yago-knowledge.org/resource/National_Football_League_Draft
1269,http://yago-knowledge.org/resource/Dynasty
1270,http://yago-knowledge.org/resource/Bight_(geography)
1271,http://yago-knowledge.org/resource/Clock_tower
1272,http://yago-knowledge.org/resource/Sacral_architecture
1273,http://yago-knowledge.org/resource/Coal-mining_region
1274,http://yago-knowledge.org/resource/Special_economic_zone
1275,http://yago-knowledge.org/resource/Technical_standard
1276,http://yago-knowledge.org/resource/Microformat
1277,http://yago-knowledge.org/resource/Eastern_Orthodox_church_architecture
1278,http://yago-knowledge.org/resource/Tambon
1279,http://yago-knowledge.org/resource/List_of_townships_in_Missouri
1280,http://yago-knowledge.org/resource/Typeface
1281,http://yago-knowledge.org/resource/Collector_road
1282,http://yago-knowledge.org/resource/Provinces_of_Argentina
1283,http://yago-knowledge.org/resource/British_Grand_Prix
1284,http://yago-knowledge.org/resource/Tributary
1285,http://yago-knowledge.org/resource/Sign_language
1286,http://yago-knowledge.org/resource/Photovoltaic_power_station
1287,http://yago-knowledge.org/resource/Foundation_(nonprofit)
1288,http://yago-knowledge.org/resource/Financial_institution
1289,http://yago-knowledge.org/resource/Main_battle_tank
1290,http://yago-knowledge.org/resource/Cricket_field
1291,http://yago-knowledge.org/resource/Light_novel
1292,http://yago-knowledge.org/resource/Manga
1293,http://yago-knowledge.org/resource/Coast_radio_station
1294,http://yago-knowledge.org/resource/Optical_telescope
1295,http://yago-knowledge.org/resource/District_(Taiwan)
1296,http://yago-knowledge.org/resource/Library_(computing)
1297,http://yago-knowledge.org/resource/Piyyut
1298,http://yago-knowledge.org/resource/Cause_of_death
1299,http://yago-knowledge.org/resource/Gendarmerie
1300,http://yago-knowledge.org/resource/Constitution
1301,http://yago-knowledge.org/resource/Liège–Bastogne–Liège
1302,http://yago-knowledge.org/resource/Brigade
1303,http://yago-knowledge.org/resource/May
1304,http://yago-knowledge.org/resource/Forest
1305,http://yago-knowledge.org/resource/Experimental_aircraft
1306,http://yago-knowledge.org/resource/Scottish_clan
1307,http://yago-knowledge.org/resource/Aerospace_manufacturer
1308,http://yago-knowledge.org/resource/Political_movement
1309,http://yago-knowledge.org/resource/Drug_class
1310,http://yago-knowledge.org/resource/Polis
1311,http://yago-knowledge.org/resource/Municipalities_and_cities_of_Serbia
1312,http://yago-knowledge.org/resource/Ramsar_site
1313,http://yago-knowledge.org/resource/3D_film
1315,http://yago-knowledge.org/resource/Christian_Church
1316,http://yago-knowledge.org/resource/Subterranean_river
1317,http://yago-knowledge.org/resource/E3_BinckBank_Classic
1318,http://yago-knowledge.org/resource/Barcelona_Open_(tennis)
1319,http://yago-knowledge.org/resource/Regiment
1320,http://yago-knowledge.org/resource/Greatest_hits_album
1321,http://yago-knowledge.org/resource/Electoral_districts_of_New_South_Wales
1322,http://yago-knowledge.org/resource/Market_(economics)
1323,http://yago-knowledge.org/resource/List_of_Alberta_general_elections
1324,http://yago-knowledge.org/resource/Research_center
1325,http://yago-knowledge.org/resource/Devi
1326,http://yago-knowledge.org/resource/Gang
1327,http://yago-knowledge.org/resource/Duet
1328,http://yago-knowledge.org/resource/Modeling_language
1329,http://yago-knowledge.org/resource/Campionati_Internazionali_di_Sicilia
1330,http://yago-knowledge.org/resource/Work_of_art
1331,http://yago-knowledge.org/resource/Wiki
1332,http://yago-knowledge.org/resource/UCI_Road_World_Championships_–_Men's_time_trial
1333,http://yago-knowledge.org/resource/Vuelta_a_Burgos
1334,http://yago-knowledge.org/resource/Optical_phenomena
1335,http://yago-knowledge.org/resource/Tour_de_Romandie
1336,http://yago-knowledge.org/resource/Protected_cruiser
1337,http://yago-knowledge.org/resource/César_Award
1338,http://yago-knowledge.org/resource/501(c)(3)_organization
1339,http://yago-knowledge.org/resource/Fictional_book
1340,http://yago-knowledge.org/resource/Lunar_sample_displays
1341,http://yago-knowledge.org/resource/Parish_(administrative_division)
1342,http://yago-knowledge.org/resource/Janya
1343,http://yago-knowledge.org/resource/Film_studio
1344,http://yago-knowledge.org/resource/Viral_video
1345,http://yago-knowledge.org/resource/National_anthem
1346,http://yago-knowledge.org/resource/Primetime_Emmy_Award
1347,http://yago-knowledge.org/resource/Sampurna_raga
1348,http://yago-knowledge.org/resource/Wightman_Cup
1349,http://yago-knowledge.org/resource/Horse_breed
1350,http://yago-knowledge.org/resource/Concept
1351,http://yago-knowledge.org/resource/Kurgan
1352,http://yago-knowledge.org/resource/Barracks
1353,http://yago-knowledge.org/resource/Barn
1354,http://yago-knowledge.org/resource/Farm
1355,http://yago-knowledge.org/resource/List_of_Torchwood_characters
1356,http://yago-knowledge.org/resource/Gurdwara
1357,http://yago-knowledge.org/resource/Radio_communication_station
1358,http://yago-knowledge.org/resource/Clade
1359,http://yago-knowledge.org/resource/Agricultural_experiment_station
1360,http://yago-knowledge.org/resource/Show_tune
1361,http://yago-knowledge.org/resource/Diocese
1362,http://yago-knowledge.org/resource/Jain_temple
1363,http://yago-knowledge.org/resource/Symbol
1364,http://yago-knowledge.org/resource/Prosperita_Open
1365,http://yago-knowledge.org/resource/Trade_association
1366,http://yago-knowledge.org/resource/Power_station
1367,http://yago-knowledge.org/resource/Rosmalen_Grass_Court_Championships
1368,http://yago-knowledge.org/resource/Space_probe
1369,http://yago-knowledge.org/resource/Code_of_law
1370,http://yago-knowledge.org/resource/Expansion_pack
1371,http://yago-knowledge.org/resource/Memory_institution
1372,http://yago-knowledge.org/resource/New_Zealand_electorates
1373,http://yago-knowledge.org/resource/Memorial
1374,http://yago-knowledge.org/resource/Think_tank
1375,http://yago-knowledge.org/resource/Reef
1376,http://yago-knowledge.org/resource/War_memorial
1377,http://yago-knowledge.org/resource/General_technology
1378,http://yago-knowledge.org/resource/Swamp
1379,http://yago-knowledge.org/resource/Corregimientos_of_Panama
1380,http://yago-knowledge.org/resource/Kuurne–Brussels–Kuurne
1381,http://yago-knowledge.org/resource/Binary_star
1382,http://yago-knowledge.org/resource/Time_standard
1384,http://yago-knowledge.org/resource/Sports_at_the_Universiade
1385,http://yago-knowledge.org/resource/Formula_One_car
1386,http://yago-knowledge.org/resource/Raid_(military)
1387,http://yago-knowledge.org/resource/Cabinet_of_Indonesia
1388,http://yago-knowledge.org/resource/State-owned_enterprise
1389,http://yago-knowledge.org/resource/Legal_term
1390,http://yago-knowledge.org/resource/Fictional_city
1391,http://yago-knowledge.org/resource/Grafschaft
1392,http://yago-knowledge.org/resource/Basque_surnames
1393,http://yago-knowledge.org/resource/Ontology_(information_science)
1394,http://yago-knowledge.org/resource/World_Series
1395,http://yago-knowledge.org/resource/Test_(assessment)
1396,http://yago-knowledge.org/resource/Camera_lens
1397,http://yago-knowledge.org/resource/Treatise
1398,http://yago-knowledge.org/resource/Coca-Cola_600
1399,http://yago-knowledge.org/resource/Express_trains_in_India
1400,http://yago-knowledge.org/resource/Film_distributor
1401,http://yago-knowledge.org/resource/Service_(economics)
1402,http://yago-knowledge.org/resource/Soyuz-TM
1403,http://yago-knowledge.org/resource/Musical_form
1404,http://yago-knowledge.org/resource/Cruise_missile
1405,http://yago-knowledge.org/resource/Meal
1406,http://yago-knowledge.org/resource/Refugee_camp
1407,http://yago-knowledge.org/resource/Research_station
1408,http://yago-knowledge.org/resource/File_manager
1409,http://yago-knowledge.org/resource/Brig
1410,http://yago-knowledge.org/resource/Saturn_Awards
1411,http://yago-knowledge.org/resource/Dicarboxylic_acid
1412,http://yago-knowledge.org/resource/Time_zone
1413,http://yago-knowledge.org/resource/Theme_(Byzantine_district)
1414,http://yago-knowledge.org/resource/Hypothesis
1415,http://yago-knowledge.org/resource/Merchant_ship
1416,http://yago-knowledge.org/resource/Windmill
1417,http://yago-knowledge.org/resource/Catholic_school
1418,http://yago-knowledge.org/resource/Municipalities_of_North_Macedonia
1419,http://yago-knowledge.org/resource/List_of_districts_of_Yemen
1420,http://yago-knowledge.org/resource/Old_town
1421,http://yago-knowledge.org/resource/Districts_of_Graz
1422,http://yago-knowledge.org/resource/Convent
1423,http://yago-knowledge.org/resource/Mass_murder
1424,http://yago-knowledge.org/resource/Oil
1425,http://yago-knowledge.org/resource/Video_game_developer
1426,http://yago-knowledge.org/resource/Extinction_event
1427,http://yago-knowledge.org/resource/Rural_area
1428,http://yago-knowledge.org/resource/Advertising_campaign
1429,http://yago-knowledge.org/resource/Hardcover
1430,http://yago-knowledge.org/resource/Ocean_liner
1431,http://yago-knowledge.org/resource/State_fair
1432,http://yago-knowledge.org/resource/Fair
1433,http://yago-knowledge.org/resource/Heavy_cruiser
1434,http://yago-knowledge.org/resource/Unisex_name
1435,http://yago-knowledge.org/resource/Spiral_galaxy
1436,http://yago-knowledge.org/resource/Astronomical_radio_source
1437,http://yago-knowledge.org/resource/Prefecture-level_city
1438,http://yago-knowledge.org/resource/Film_genre
1439,http://yago-knowledge.org/resource/Madrasa
1440,http://yago-knowledge.org/resource/Giro_d'Italia
1441,http://yago-knowledge.org/resource/Kolk_(vortex)
1442,http://yago-knowledge.org/resource/Bojangles'_Southern_500
1443,http://yago-knowledge.org/resource/Jurisdiction
1444,http://yago-knowledge.org/resource/IAAF_World_Half_Marathon_Championships
1445,http://yago-knowledge.org/resource/University_press
1446,http://yago-knowledge.org/resource/Professional_certification
1447,http://yago-knowledge.org/resource/Metahuman
1448,http://yago-knowledge.org/resource/Independent_school_(United_Kingdom)
1449,http://yago-knowledge.org/resource/Location
1450,http://yago-knowledge.org/resource/Military_academy
1451,http://yago-knowledge.org/resource/DJ_mix
1452,http://yago-knowledge.org/resource/Archaeological_culture
1453,http://yago-knowledge.org/resource/International_court
1455,http://yago-knowledge.org/resource/Widget_toolkit
1456,http://yago-knowledge.org/resource/Hypogeum
1457,http://yago-knowledge.org/resource/Tomb
1458,http://yago-knowledge.org/resource/Cola
1459,http://yago-knowledge.org/resource/Communes_of_Mali
1460,http://yago-knowledge.org/resource/Catholic_higher_education
1461,http://yago-knowledge.org/resource/Fighter_aircraft
1462,http://yago-knowledge.org/resource/Free_and_open-source_software
1464,http://yago-knowledge.org/resource/Plan
1465,http://yago-knowledge.org/resource/Religion
1466,http://yago-knowledge.org/resource/Packet_analyzer
1467,http://yago-knowledge.org/resource/Online_Film_Critics_Society
1468,http://yago-knowledge.org/resource/Summer_camp
1469,http://yago-knowledge.org/resource/Heya_(sumo)
1470,http://yago-knowledge.org/resource/Promontory_fort
1471,http://yago-knowledge.org/resource/Edict
1472,http://yago-knowledge.org/resource/Law
1473,http://yago-knowledge.org/resource/Sources_of_law
1474,http://yago-knowledge.org/resource/News_agency
1475,http://yago-knowledge.org/resource/Counties_of_Estonia
1476,http://yago-knowledge.org/resource/Meridian_(geography)
1477,http://yago-knowledge.org/resource/Pipe_band
1478,http://yago-knowledge.org/resource/Estate_(land)
1479,http://yago-knowledge.org/resource/Co-cathedral
1480,http://yago-knowledge.org/resource/Family_court
1481,http://yago-knowledge.org/resource/Sloop
1482,http://yago-knowledge.org/resource/Hermitage_(religious_retreat)
1483,http://yago-knowledge.org/resource/Torpedo
1484,http://yago-knowledge.org/resource/City_gate
1485,http://yago-knowledge.org/resource/Local_museum
1486,http://yago-knowledge.org/resource/Myeon_(administrative_division)
1487,http://yago-knowledge.org/resource/Tramway_(industrial)
1488,http://yago-knowledge.org/resource/Vuelta_a_Colombia
1489,http://yago-knowledge.org/resource/Chinese_constellations
1490,http://yago-knowledge.org/resource/Local_government_in_Victoria
1491,http://yago-knowledge.org/resource/Districts_of_Kazakhstan
1492,http://yago-knowledge.org/resource/National_Estuarine_Research_Reserve
1493,http://yago-knowledge.org/resource/Cutter_(boat)
1494,http://yago-knowledge.org/resource/List_of_Ontario_federal_electoral_districts
1495,http://yago-knowledge.org/resource/Footbridge
1496,http://yago-knowledge.org/resource/Century
1497,http://yago-knowledge.org/resource/Observation_tower
1498,http://yago-knowledge.org/resource/S.A._(corporation)
1499,http://yago-knowledge.org/resource/Third-rate
1500,http://yago-knowledge.org/resource/Stave_church
1501,http://yago-knowledge.org/resource/Alaska_Native_corporation
1502,http://yago-knowledge.org/resource/Destroyer_escort
1503,http://yago-knowledge.org/resource/Add-on_(Mozilla)
1504,http://yago-knowledge.org/resource/Academic_degree
1505,http://yago-knowledge.org/resource/Districts_of_Mongolia
1506,http://yago-knowledge.org/resource/Brighton_International
1507,http://yago-knowledge.org/resource/Marina
1508,http://yago-knowledge.org/resource/Triptych
1509,http://yago-knowledge.org/resource/Hexagonal_number
1510,http://yago-knowledge.org/resource/Triangular_number
1511,http://yago-knowledge.org/resource/Tetrahedral_number
1512,http://yago-knowledge.org/resource/Natural_number
1513,http://yago-knowledge.org/resource/Composite_number
1514,http://yago-knowledge.org/resource/Transit_district
1515,http://yago-knowledge.org/resource/Gunboat
1516,http://yago-knowledge.org/resource/Rotunda_(architecture)
1517,http://yago-knowledge.org/resource/Train_wreck
1518,http://yago-knowledge.org/resource/Phenomenon
1519,http://yago-knowledge.org/resource/Municipal_police
1520,http://yago-knowledge.org/resource/Round_barn
1521,http://yago-knowledge.org/resource/Rocket_artillery
1522,http://yago-knowledge.org/resource/Division_(military)
1523,http://yago-knowledge.org/resource/Group_(periodic_table)
1524,http://yago-knowledge.org/resource/Dong_(administrative_division)
1525,http://yago-knowledge.org/resource/Municipalities_of_Sweden
1526,http://yago-knowledge.org/resource/Districts_of_Indonesia
1527,http://yago-knowledge.org/resource/Television_pilot
1528,http://yago-knowledge.org/resource/Primality_test
1529,http://yago-knowledge.org/resource/Sports_car_racing
1530,http://yago-knowledge.org/resource/Pre-dreadnought_battleship
1531,http://yago-knowledge.org/resource/Unit_of_measurement
1532,http://yago-knowledge.org/resource/High_cross
1533,http://yago-knowledge.org/resource/Radio_masts_and_towers
1534,http://yago-knowledge.org/resource/Folly_tower
1536,http://yago-knowledge.org/resource/Live-action_animated_film
1538,http://yago-knowledge.org/resource/List_of_Administrative_Regions_in_Rio_de_Janeiro
1539,http://yago-knowledge.org/resource/Proving_ground
1540,http://yago-knowledge.org/resource/Physical_property
1541,http://yago-knowledge.org/resource/Arch_bridge
1542,http://yago-knowledge.org/resource/Seaplane_base
1543,http://yago-knowledge.org/resource/Subdistricts_of_China
1544,http://yago-knowledge.org/resource/Public_university
1545,http://yago-knowledge.org/resource/Image_file_formats
1546,http://yago-knowledge.org/resource/Natural_region
1547,http://yago-knowledge.org/resource/Weekly_Torah_portion
1548,http://yago-knowledge.org/resource/Open-source_software
1549,http://yago-knowledge.org/resource/Flood
1550,http://yago-knowledge.org/resource/United_States_National_Forest
1551,http://yago-knowledge.org/resource/Military_districts_of_the_Soviet_Union
1552,http://yago-knowledge.org/resource/Tingsrätt
1553,http://yago-knowledge.org/resource/Vijay_Awards
1554,http://yago-knowledge.org/resource/Districts_of_Sudan
1555,http://yago-knowledge.org/resource/Financial_ratio
1556,http://yago-knowledge.org/resource/Sapphire
1557,http://yago-knowledge.org/resource/Outbreak
1558,http://yago-knowledge.org/resource/Dental_school
1560,http://yago-knowledge.org/resource/Film_score
1561,http://yago-knowledge.org/resource/Style_sheet_language
1562,http://yago-knowledge.org/resource/Statistical_hypothesis_testing
1563,http://yago-knowledge.org/resource/Journal
1564,http://yago-knowledge.org/resource/Title_of_honor
1565,http://yago-knowledge.org/resource/Medal
1566,http://yago-knowledge.org/resource/List_of_Manitoba_general_elections
1567,http://yago-knowledge.org/resource/Macau_Open_Badminton_Championships
1568,http://yago-knowledge.org/resource/Set_(mathematics)
1569,http://yago-knowledge.org/resource/Teen_Choice_Awards
1570,http://yago-knowledge.org/resource/Oil_field
1571,http://yago-knowledge.org/resource/List_of_lunar_deities
1572,http://yago-knowledge.org/resource/Governorates_of_Yemen
1573,http://yago-knowledge.org/resource/Well
1574,http://yago-knowledge.org/resource/Cognitive_bias
1575,http://yago-knowledge.org/resource/Thermal_power_station
1576,http://yago-knowledge.org/resource/Island_country
1577,http://yago-knowledge.org/resource/Sovereign_state
1578,http://yago-knowledge.org/resource/Commonwealth_realm
1579,http://yago-knowledge.org/resource/State_(polity)
1580,http://yago-knowledge.org/resource/Youth_wing
1581,http://yago-knowledge.org/resource/Cross
1583,http://yago-knowledge.org/resource/Independent_Spirit_Awards
1584,http://yago-knowledge.org/resource/Grenade
1585,http://yago-knowledge.org/resource/Charter_township
1586,http://yago-knowledge.org/resource/U.S._state
1587,http://yago-knowledge.org/resource/Constituencies_of_Belize
1588,http://yago-knowledge.org/resource/Canadian_Forces_base
1589,http://yago-knowledge.org/resource/Convention_(meeting)
1590,http://yago-knowledge.org/resource/Beer
1591,http://yago-knowledge.org/resource/System
1592,http://yago-knowledge.org/resource/Languages_constructed_by_J._R._R._Tolkien
1593,http://yago-knowledge.org/resource/Real_number
1594,http://yago-knowledge.org/resource/Mathematical_constant
1595,http://yago-knowledge.org/resource/Priory
1596,http://yago-knowledge.org/resource/Baladiyat_of_Libya
1597,http://yago-knowledge.org/resource/Amstel_Gold_Race
1598,http://yago-knowledge.org/resource/Funicular
1599,http://yago-knowledge.org/resource/Manor_house
1600,http://yago-knowledge.org/resource/Richmond_WCT
1601,http://yago-knowledge.org/resource/Software_distribution
1602,http://yago-knowledge.org/resource/Amphitheatre
1603,http://yago-knowledge.org/resource/Documentation_generator
1604,http://yago-knowledge.org/resource/Desert_island
1605,http://yago-knowledge.org/resource/Revival_house
1606,http://yago-knowledge.org/resource/Arts_centre
1607,http://yago-knowledge.org/resource/Cabaret
1608,http://yago-knowledge.org/resource/Naval_base
1609,http://yago-knowledge.org/resource/Oblasts_of_Russia
1610,http://yago-knowledge.org/resource/Arrondissements_of_Benin
1611,http://yago-knowledge.org/resource/Institution
1612,http://yago-knowledge.org/resource/Cuisine
1613,http://yago-knowledge.org/resource/Peel_tower
1614,http://yago-knowledge.org/resource/Communes_of_Chile
1615,http://yago-knowledge.org/resource/Administrative_posts_of_East_Timor
1616,http://yago-knowledge.org/resource/Communes_of_Cameroon
1617,http://yago-knowledge.org/resource/Brasserie
1618,http://yago-knowledge.org/resource/Water_castle
1619,http://yago-knowledge.org/resource/Parable
1620,http://yago-knowledge.org/resource/Constituent_assembly
1621,http://yago-knowledge.org/resource/Pekao_Szczecin_Open
1622,http://yago-knowledge.org/resource/Villages_of_Brunei
1623,http://yago-knowledge.org/resource/Excipient
1624,http://yago-knowledge.org/resource/Recreation_area
1625,http://yago-knowledge.org/resource/Computer_program
1626,http://yago-knowledge.org/resource/Stately_home
1627,http://yago-knowledge.org/resource/Humanoid_robot
1628,http://yago-knowledge.org/resource/Steroid_hormone
1629,http://yago-knowledge.org/resource/Geotope
1630,http://yago-knowledge.org/resource/International_organization
1631,http://yago-knowledge.org/resource/Silicon_Valley_Classic
1632,http://yago-knowledge.org/resource/ISO_639_macrolanguage
1633,http://yago-knowledge.org/resource/Micronation
1634,http://yago-knowledge.org/resource/Frigate
1635,http://yago-knowledge.org/resource/Districts_of_Hungary
1636,http://yago-knowledge.org/resource/Showboat
1637,http://yago-knowledge.org/resource/Lightvessel
1638,http://yago-knowledge.org/resource/Public_utility
1639,http://yago-knowledge.org/resource/National_nature_reserve_(United_Kingdom)
1640,http://yago-knowledge.org/resource/San_Luis_Open_Challenger_Tour
1641,http://yago-knowledge.org/resource/Regions_of_Ethiopia
1642,http://yago-knowledge.org/resource/Chess_tournament
1643,http://yago-knowledge.org/resource/Belde
1644,http://yago-knowledge.org/resource/French_Open
1645,http://yago-knowledge.org/resource/People
1646,http://yago-knowledge.org/resource/Storm_surge
1647,http://yago-knowledge.org/resource/Wind
1648,http://yago-knowledge.org/resource/Intercontinental_ballistic_missile
1649,http://yago-knowledge.org/resource/Paradox
1651,http://yago-knowledge.org/resource/Stone_row
1652,http://yago-knowledge.org/resource/Chemical_element
1653,http://yago-knowledge.org/resource/Baptistery
1654,http://yago-knowledge.org/resource/Grand_final
1655,http://yago-knowledge.org/resource/International_Indian_Film_Academy_Awards
1656,http://yago-knowledge.org/resource/Mining_accident
1657,http://yago-knowledge.org/resource/Ruins
1658,http://yago-knowledge.org/resource/Milestone
1659,http://yago-knowledge.org/resource/Geodetic_datum
1660,http://yago-knowledge.org/resource/Homicide
1661,http://yago-knowledge.org/resource/Cold_case
1662,http://yago-knowledge.org/resource/Border_checkpoint
1663,http://yago-knowledge.org/resource/Light_machine_gun
1664,http://yago-knowledge.org/resource/Regional_circumscriptions_of_Peru
1665,http://yago-knowledge.org/resource/Supreme_court
1666,http://yago-knowledge.org/resource/Scottish_Parliament_constituencies_and_regions
1667,http://yago-knowledge.org/resource/Shanghai_Masters_(tennis)
1668,http://yago-knowledge.org/resource/Psychological_testing
1669,http://yago-knowledge.org/resource/Grammatical_tense
1670,http://yago-knowledge.org/resource/Badminton_at_the_Asian_Games
1671,http://yago-knowledge.org/resource/Lode
1672,http://yago-knowledge.org/resource/Masekhet
1673,http://yago-knowledge.org/resource/Style_(form_of_address)
1674,http://yago-knowledge.org/resource/Twin
1675,http://yago-knowledge.org/resource/Parliament
1676,http://yago-knowledge.org/resource/Tissue_(biology)
1677,http://yago-knowledge.org/resource/Programmable_calculator
1678,http://yago-knowledge.org/resource/Natural_language
1679,http://yago-knowledge.org/resource/Carbohydrate
1680,http://yago-knowledge.org/resource/Color
1681,http://yago-knowledge.org/resource/Template_processor
1682,http://yago-knowledge.org/resource/Computer
1683,http://yago-knowledge.org/resource/Capital_of_Japan
1684,http://yago-knowledge.org/resource/Prefectures_of_Japan
1685,http://yago-knowledge.org/resource/Districts_of_Tajikistan
1686,http://yago-knowledge.org/resource/Geologic_province
1687,http://yago-knowledge.org/resource/Hymn
1688,http://yago-knowledge.org/resource/Coral_reef
1689,http://yago-knowledge.org/resource/Quiz
1690,http://yago-knowledge.org/resource/Competition
1691,http://yago-knowledge.org/resource/Service_medal
1692,http://yago-knowledge.org/resource/Tugboat
1693,http://yago-knowledge.org/resource/Clan
1694,http://yago-knowledge.org/resource/Maquis_(World_War_II)
1695,http://yago-knowledge.org/resource/Television_studio
1696,http://yago-knowledge.org/resource/Party_political_foundation
1697,http://yago-knowledge.org/resource/India_Open
1698,http://yago-knowledge.org/resource/Military_occupation
1699,http://yago-knowledge.org/resource/US-K
1700,http://yago-knowledge.org/resource/Atlantic_hurricane
1701,http://yago-knowledge.org/resource/Insecticide
1702,http://yago-knowledge.org/resource/Harbor
1703,http://yago-knowledge.org/resource/Siege_engine
1704,http://yago-knowledge.org/resource/Intelligence_agency
1705,http://yago-knowledge.org/resource/Ranger_station
1706,http://yago-knowledge.org/resource/Beer_style
1707,http://yago-knowledge.org/resource/Dog
1708,http://yago-knowledge.org/resource/Computer_algebra_system
1709,http://yago-knowledge.org/resource/Royal_elections_in_Poland
1710,http://yago-knowledge.org/resource/Norwegian_District_Football_Associations
1711,http://yago-knowledge.org/resource/Blockade
1712,http://yago-knowledge.org/resource/Slave_rebellion
1713,http://yago-knowledge.org/resource/Abandoned_village
1714,http://yago-knowledge.org/resource/Bible_translations
1715,http://yago-knowledge.org/resource/Proverb
1716,http://yago-knowledge.org/resource/Biosphere_reserve
1717,http://yago-knowledge.org/resource/Sprachraum
1718,http://yago-knowledge.org/resource/Munro
1719,http://yago-knowledge.org/resource/Provinces_of_the_Philippines
1720,http://yago-knowledge.org/resource/Districts_of_Libya
1721,http://yago-knowledge.org/resource/Isotopes_of_bismuth
1722,http://yago-knowledge.org/resource/World_Mountain_Running_Championships
1724,http://yago-knowledge.org/resource/Midibus
1725,http://yago-knowledge.org/resource/Family_entertainment_center
1726,http://yago-knowledge.org/resource/Circle_of_latitude
1727,http://yago-knowledge.org/resource/Video_coding_format
1728,http://yago-knowledge.org/resource/Chocolaterie
1729,http://yago-knowledge.org/resource/Astrophysical_X-ray_source
1730,http://yago-knowledge.org/resource/Elliptical_galaxy
1731,http://yago-knowledge.org/resource/Low-ionization_nuclear_emission-line_region
1732,http://yago-knowledge.org/resource/Tour_de_France
1733,http://yago-knowledge.org/resource/Hybrid_(biology)
1734,http://yago-knowledge.org/resource/July
1735,http://yago-knowledge.org/resource/Independent_cities_of_Germany
1736,http://yago-knowledge.org/resource/Legislature
1737,http://yago-knowledge.org/resource/Pagoda
1738,http://yago-knowledge.org/resource/Yacht_club
1740,http://yago-knowledge.org/resource/Subsidiary
1741,http://yago-knowledge.org/resource/Sea_cave
1742,http://yago-knowledge.org/resource/US_Open_(tennis)
1743,http://yago-knowledge.org/resource/African_U20_Championships_in_Athletics
1744,http://yago-knowledge.org/resource/Colleges_of_the_University_of_Oxford
1745,http://yago-knowledge.org/resource/Political_international
1746,http://yago-knowledge.org/resource/National_championship
1747,http://yago-knowledge.org/resource/ISSF_shooting_events
1748,http://yago-knowledge.org/resource/Meander
1749,http://yago-knowledge.org/resource/Unmanned_spaceflight
1750,http://yago-knowledge.org/resource/Flying_club
1751,http://yago-knowledge.org/resource/Marathon
1752,http://yago-knowledge.org/resource/Tornado_outbreak
1753,http://yago-knowledge.org/resource/Political_division
1754,http://yago-knowledge.org/resource/Insular_area
1755,http://yago-knowledge.org/resource/Japanese_era_name
1756,http://yago-knowledge.org/resource/European_Short_Track_Speed_Skating_Championships
1757,http://yago-knowledge.org/resource/Integrated_development_environment
1758,http://yago-knowledge.org/resource/Mobile_browser
1759,http://yago-knowledge.org/resource/Etymological_dictionary
1760,http://yago-knowledge.org/resource/Ministry_(collective_executive)
1761,http://yago-knowledge.org/resource/Craft
1762,http://yago-knowledge.org/resource/Highland
1763,http://yago-knowledge.org/resource/Income_tax
1764,http://yago-knowledge.org/resource/Municipalities_of_Bulgaria
1765,http://yago-knowledge.org/resource/Party
1766,http://yago-knowledge.org/resource/Indian_reserve
1767,http://yago-knowledge.org/resource/Health_facility
1768,http://yago-knowledge.org/resource/Doctrine
1769,http://yago-knowledge.org/resource/Metric_(mathematics)
1770,http://yago-knowledge.org/resource/Concentration_camp
1771,http://yago-knowledge.org/resource/Schism
1772,http://yago-knowledge.org/resource/Shukuba
1773,http://yago-knowledge.org/resource/Library_system
1774,http://yago-knowledge.org/resource/Content_management_system
1775,http://yago-knowledge.org/resource/Carillon
1776,http://yago-knowledge.org/resource/Types_of_volcanic_eruptions
1777,http://yago-knowledge.org/resource/Private_school
1778,http://yago-knowledge.org/resource/Pastry
1779,http://yago-knowledge.org/resource/Gay_bar
1780,http://yago-knowledge.org/resource/Private_military_company
1781,http://yago-knowledge.org/resource/Pandemic
1782,http://yago-knowledge.org/resource/Autobiography
1783,http://yago-knowledge.org/resource/Memoir
1784,http://yago-knowledge.org/resource/Forgery
1785,http://yago-knowledge.org/resource/Sailing_yacht
1786,http://yago-knowledge.org/resource/ATP_Finals
1787,http://yago-knowledge.org/resource/Physical_model
1788,http://yago-knowledge.org/resource/Solar_eclipse
1789,http://yago-knowledge.org/resource/Public_company
1790,http://yago-knowledge.org/resource/GPS_satellite_blocks
1791,http://yago-knowledge.org/resource/Departments_of_Cameroon
1792,http://yago-knowledge.org/resource/Roman_province
1793,http://yago-knowledge.org/resource/Fen
1794,http://yago-knowledge.org/resource/Josei_manga
1795,http://yago-knowledge.org/resource/List_of_pasta
